"ID";"RegioS";"Perioden";"TotaleBevolking_1"
"10971";"GM0168";"2020JJ00";"   22683"
"10997";"GM0810";"2020JJ00";""
"11023";"GM0811";"2020JJ00";""
"11049";"GM0332";"2020JJ00";""
"11075";"GM0333";"2020JJ00";""
"11101";"GM0334";"2020JJ00";""
"11127";"GM0933";"2020JJ00";""
"11153";"GM0934";"2020JJ00";""
"11179";"GM1671";"2020JJ00";""
"11205";"GM0263";"2020JJ00";"   25030"
"11231";"GM1641";"2020JJ00";"   23965"
"11257";"GM0555";"2020JJ00";""
"11283";"GM0556";"2020JJ00";"   33213"
"11309";"GM0935";"2020JJ00";"  121575"
"11335";"GM1665";"2020JJ00";""
"11361";"GM0812";"2020JJ00";""
"11387";"GM0936";"2020JJ00";""
"11413";"GM0686";"2020JJ00";""
"11439";"GM0169";"2020JJ00";""
"11465";"GM1663";"2020JJ00";""
"11491";"GM0025";"2020JJ00";""
"11517";"GM0264";"2020JJ00";""
"11543";"GM0420";"2020JJ00";"   45101"
"11569";"GM0993";"2020JJ00";""
"11595";"GM0938";"2020JJ00";"   18828"
"11621";"GM1948";"2020JJ00";"   81194"
"11647";"GM0941";"2020JJ00";""
"11673";"GM0083";"2020JJ00";""
"11699";"GM1908";"2020JJ00";""
"11725";"GM1987";"2020JJ00";""
"11751";"GM0119";"2020JJ00";"   33920"
"11777";"GM0687";"2020JJ00";"   48822"
"11803";"GM0559";"2020JJ00";""
"11829";"GM1842";"2020JJ00";"   19341"
"11855";"GM1731";"2020JJ00";"   33185"
"11881";"GM1952";"2020JJ00";"   60797"
"11907";"GM0688";"2020JJ00";""
"11933";"GM1697";"2020JJ00";""
"11959";"GM0814";"2020JJ00";""
"11985";"GM0815";"2020JJ00";"   10939"
"12011";"GM0265";"2020JJ00";""
"12037";"GM1709";"2020JJ00";"   37129"
"12063";"GM0816";"2020JJ00";""
"12089";"GM1978";"2020JJ00";"   43909"
"12115";"GM1927";"2020JJ00";""
"12141";"GM0562";"2020JJ00";""
"12167";"GM1955";"2020JJ00";"   36011"
"12193";"GM0335";"2020JJ00";"   13917"
"12219";"GM0944";"2020JJ00";"    7847"
"12245";"GM0563";"2020JJ00";""
"12271";"GM0424";"2020JJ00";""
"12297";"GM0565";"2020JJ00";""
"12323";"GM0425";"2020JJ00";""
"12349";"GM1740";"2020JJ00";"   24339"
"12375";"GM0426";"2020JJ00";""
"12401";"GM0643";"2020JJ00";""
"12427";"GM0946";"2020JJ00";"   17019"
"12453";"GM0266";"2020JJ00";""
"12479";"GM0304";"2020JJ00";""
"12505";"GM0412";"2020JJ00";""
"12531";"GM0356";"2020JJ00";"   63462"
"12557";"GM0567";"2020JJ00";""
"12583";"GM0817";"2020JJ00";""
"12609";"GM0569";"2020JJ00";"   28811"
"12635";"GM0571";"2020JJ00";""
"12661";"GM0170";"2020JJ00";""
"12687";"GM0818";"2020JJ00";""
"12713";"GM0104";"2020JJ00";""
"12739";"GM0121";"2020JJ00";""
"12765";"GM0267";"2020JJ00";"   43171"
"12791";"GM0268";"2020JJ00";"  177659"
"12817";"GM1930";"2020JJ00";"   85219"
"12843";"GM1970";"2020JJ00";"   45228"
"12869";"GM1695";"2020JJ00";"    7392"
"12895";"GM1699";"2020JJ00";"   31253"
"12921";"GM0529";"2020JJ00";""
"12947";"GM0171";"2020JJ00";"   47291"
"12973";"GM0575";"2020JJ00";"   43508"
"12999";"GM0576";"2020JJ00";""
"13025";"GM0577";"2020JJ00";""
"13051";"GM0120";"2020JJ00";""
"13077";"GM0820";"2020JJ00";"   23383"
"13103";"GM0302";"2020JJ00";"   27851"
"13129";"GM0951";"2020JJ00";""
"13155";"GM0429";"2020JJ00";""
"13181";"GM0122";"2020JJ00";""
"13207";"GM0579";"2020JJ00";"   24840"
"13233";"GM0823";"2020JJ00";"   18714"
"13259";"GM0824";"2020JJ00";"   26245"
"13285";"GM1895";"2020JJ00";"   38209"
"13311";"GM0269";"2020JJ00";"   23646"
"13337";"GM0173";"2020JJ00";"   31836"
"13363";"GM0174";"2020JJ00";""
"13389";"GM1773";"2020JJ00";"   18252"
"13415";"GM0175";"2020JJ00";"   18009"
"13441";"GM0881";"2020JJ00";""
"13467";"GM1586";"2020JJ00";"   29627"
"13493";"GM0825";"2020JJ00";""
"13519";"GM0692";"2020JJ00";""
"13545";"GM0123";"2020JJ00";""
"13571";"GM0826";"2020JJ00";"   55982"
"13597";"GM0580";"2020JJ00";""
"13623";"GM0085";"2020JJ00";"   25469"
"13649";"GM0431";"2020JJ00";"    9735"
"13675";"GM0176";"2020JJ00";""
"13701";"GM0432";"2020JJ00";"   11836"
"13727";"GM0086";"2020JJ00";"   29733"
"13753";"GM0828";"2020JJ00";"   91915"
"13779";"GM0829";"2020JJ00";""
"13805";"GM0831";"2020JJ00";""
"13831";"GM0584";"2020JJ00";""
"13857";"GM1509";"2020JJ00";"   39388"
"13883";"GM0830";"2020JJ00";""
"13909";"GM0437";"2020JJ00";"   14026"
"13935";"GM0644";"2020JJ00";""
"13961";"GM0589";"2020JJ00";"   10230"
"13987";"GM1734";"2020JJ00";"   47906"
"14013";"GM0590";"2020JJ00";"   32136"
"14039";"GM1894";"2020JJ00";"   43425"
"14065";"GM0124";"2020JJ00";""
"14091";"GM0765";"2020JJ00";"   12196"
"14117";"GM0594";"2020JJ00";""
"14143";"GM1926";"2020JJ00";"   55308"
"14169";"GM0832";"2020JJ00";""
"14195";"GM0439";"2020JJ00";"   81249"
"14221";"GM0833";"2020JJ00";""
"14247";"GM0273";"2020JJ00";"   24112"
"14273";"GM0177";"2020JJ00";"   37712"
"14299";"GM0834";"2020JJ00";""
"14325";"GM0835";"2020JJ00";""
"14351";"GM0595";"2020JJ00";""
"14377";"GM1661";"2020JJ00";""
"14403";"GM0703";"2020JJ00";"   22730"
"14429";"GM0274";"2020JJ00";"   31419"
"14455";"GM0339";"2020JJ00";"    5444"
"14481";"GM0836";"2020JJ00";""
"14507";"GM1667";"2020JJ00";"   13112"
"14533";"GM0275";"2020JJ00";"   43761"
"14559";"GM0340";"2020JJ00";"   20119"
"14585";"GM0597";"2020JJ00";"   46189"
"14611";"GM0837";"2020JJ00";""
"14637";"GM0602";"2020JJ00";""
"14663";"GM0196";"2020JJ00";""
"14689";"GM1672";"2020JJ00";""
"14715";"GM0841";"2020JJ00";""
"14741";"GM0178";"2020JJ00";""
"14767";"GM1742";"2020JJ00";"   38177"
"14793";"GM0603";"2020JJ00";"   54450"
"14819";"GM0125";"2020JJ00";""
"14845";"GM1669";"2020JJ00";"   20574"
"14871";"GM0957";"2020JJ00";"   58260"
"14897";"GM1670";"2020JJ00";""
"14923";"GM0126";"2020JJ00";""
"14949";"GM0736";"2020JJ00";"   44456"
"14975";"GM1674";"2020JJ00";"   77251"
"15001";"GM0838";"2020JJ00";""
"15027";"GM0839";"2020JJ00";""
"15053";"GM0276";"2020JJ00";""
"15079";"GM0599";"2020JJ00";"  651157"
"15105";"GM0600";"2020JJ00";""
"15131";"GM0277";"2020JJ00";"    1704"
"15157";"GM0840";"2020JJ00";"   22878"
"15183";"GM0127";"2020JJ00";""
"15209";"GM0128";"2020JJ00";""
"15235";"GM0278";"2020JJ00";""
"15261";"GM0704";"2020JJ00";""
"15287";"GM0604";"2020JJ00";""
"15313";"GM0441";"2020JJ00";"   46483"
"15339";"GM0039";"2020JJ00";""
"15365";"GM0458";"2020JJ00";""
"15391";"GM0279";"2020JJ00";"    9880"
"15417";"GM0606";"2020JJ00";"   78730"
"15443";"GM0088";"2020JJ00";"     947"
"15469";"GM0844";"2020JJ00";""
"15495";"GM0962";"2020JJ00";""
"15521";"GM0607";"2020JJ00";""
"15547";"GM0129";"2020JJ00";""
"15573";"GM0608";"2020JJ00";""
"15599";"GM0444";"2020JJ00";""
"15625";"GM1676";"2020JJ00";"   33839"
"15651";"GM0964";"2020JJ00";""
"15677";"GM0965";"2020JJ00";"   10555"
"15703";"GM1702";"2020JJ00";"   11664"
"15729";"GM0845";"2020JJ00";"   29208"
"15755";"GM0846";"2020JJ00";""
"15781";"GM0968";"2020JJ00";""
"15807";"GM1883";"2020JJ00";"   92429"
"15833";"GM0051";"2020JJ00";""
"15859";"GM0130";"2020JJ00";""
"15885";"GM0610";"2020JJ00";"   25220"
"15911";"GM0040";"2020JJ00";""
"15937";"GM1714";"2020JJ00";"   23210"
"15963";"GM1698";"2020JJ00";""
"15989";"GM0090";"2020JJ00";"   56150"
"16015";"GM0131";"2020JJ00";""
"16041";"GM0091";"2020JJ00";""
"16067";"GM0342";"2020JJ00";"   46606"
"16093";"GM0847";"2020JJ00";"   19368"
"16119";"GM0848";"2020JJ00";"   17322"
"16145";"GM0612";"2020JJ00";""
"16171";"GM0849";"2020JJ00";""
"16197";"GM1691";"2020JJ00";""
"16223";"GM0179";"2020JJ00";""
"16249";"GM0037";"2020JJ00";"   31686"
"16275";"GM0850";"2020JJ00";""
"16301";"GM0180";"2020JJ00";"   17145"
"16327";"GM0532";"2020JJ00";"   21726"
"16353";"GM0851";"2020JJ00";"   24416"
"16379";"GM0280";"2020JJ00";""
"16405";"GM0181";"2020JJ00";""
"16431";"GM1708";"2020JJ00";"   44126"
"16457";"GM0971";"2020JJ00";"   25007"
"16483";"GM1904";"2020JJ00";"   64931"
"16509";"GM0973";"2020JJ00";""
"16535";"GM0617";"2020JJ00";""
"16561";"GM1900";"2020JJ00";"   89987"
"16587";"GM0974";"2020JJ00";""
"16613";"GM0975";"2020JJ00";""
"16639";"GM0976";"2020JJ00";""
"16665";"GM0853";"2020JJ00";""
"16691";"GM0715";"2020JJ00";"   54426"
"16717";"GM0093";"2020JJ00";"    4888"
"16743";"GM0854";"2020JJ00";""
"16769";"GM0448";"2020JJ00";"   13575"
"16795";"GM1525";"2020JJ00";"   37440"
"16821";"GM0716";"2020JJ00";"   25757"
"16847";"GM0977";"2020JJ00";""
"16873";"GM0281";"2020JJ00";"   42159"
"16899";"GM0855";"2020JJ00";"  219789"
"16925";"GM0183";"2020JJ00";"   21275"
"16951";"GM1700";"2020JJ00";"   33743"
"16977";"GM1730";"2020JJ00";"   33887"
"17003";"GM0737";"2020JJ00";"   32052"
"17029";"GM0282";"2020JJ00";""
"17055";"GM0856";"2020JJ00";"   42119"
"17081";"GM0857";"2020JJ00";""
"17107";"GM0450";"2020JJ00";"   13666"
"17133";"GM0451";"2020JJ00";"   29478"
"17159";"GM0184";"2020JJ00";"   21031"
"17185";"GM0344";"2020JJ00";"  357597"
"17211";"GM1581";"2020JJ00";"   49580"
"17237";"GM0981";"2020JJ00";"   10105"
"17263";"GM0283";"2020JJ00";""
"17289";"GM0619";"2020JJ00";""
"17315";"GM0994";"2020JJ00";"   16367"
"17341";"GM0720";"2020JJ00";""
"17367";"GM0858";"2020JJ00";"   31193"
"17393";"GM0047";"2020JJ00";"   27384"
"17419";"GM0345";"2020JJ00";"   66493"
"17445";"GM0717";"2020JJ00";"   21880"
"17471";"GM0860";"2020JJ00";""
"17497";"GM0861";"2020JJ00";"   45466"
"17523";"GM0453";"2020JJ00";"   68648"
"17549";"GM0454";"2020JJ00";""
"17575";"GM0983";"2020JJ00";"  101802"
"17601";"GM0984";"2020JJ00";"   43614"
"17627";"GM0862";"2020JJ00";""
"17653";"GM0620";"2020JJ00";""
"17679";"GM0863";"2020JJ00";""
"17705";"GM1961";"2020JJ00";"   56811"
"17731";"GM0622";"2020JJ00";"   73397"
"17757";"GM0048";"2020JJ00";""
"17783";"GM0132";"2020JJ00";""
"17809";"GM0347";"2020JJ00";""
"17835";"GM0096";"2020JJ00";"    1155"
"17861";"GM0864";"2020JJ00";""
"17887";"GM0718";"2020JJ00";"   44360"
"17913";"GM0623";"2020JJ00";""
"17939";"GM0986";"2020JJ00";"   12475"
"17965";"GM0624";"2020JJ00";""
"17991";"GM0625";"2020JJ00";""
"18017";"GM0626";"2020JJ00";"   25596"
"18043";"GM0285";"2020JJ00";"   24552"
"18069";"GM0286";"2020JJ00";""
"18095";"GM0133";"2020JJ00";""
"18121";"GM0186";"2020JJ00";""
"18147";"GM0865";"2020JJ00";"   26558"
"18173";"GM1949";"2020JJ00";"   46090"
"18199";"GM0866";"2020JJ00";"   17456"
"18225";"GM0867";"2020JJ00";"   48637"
"18251";"GM0627";"2020JJ00";"   29291"
"18277";"GM0289";"2020JJ00";"   39664"
"18303";"GM0628";"2020JJ00";""
"18329";"GM0291";"2020JJ00";""
"18355";"GM0869";"2020JJ00";""
"18381";"GM0629";"2020JJ00";"   26305"
"18407";"GM0630";"2020JJ00";""
"18433";"GM0852";"2020JJ00";"   17424"
"18459";"GM0188";"2020JJ00";""
"18485";"GM0988";"2020JJ00";"   50105"
"18511";"GM0457";"2020JJ00";"   19738"
"18537";"GM0292";"2020JJ00";""
"18563";"GM0870";"2020JJ00";""
"18589";"GM0459";"2020JJ00";""
"18615";"GM1960";"2020JJ00";"   51128"
"18641";"GM0668";"2020JJ00";"   19324"
"18667";"GM0134";"2020JJ00";""
"18693";"GM0871";"2020JJ00";""
"18719";"GM0558";"2020JJ00";""
"18745";"GM1969";"2020JJ00";"   63329"
"18771";"GM0725";"2020JJ00";""
"18797";"GM1701";"2020JJ00";"   19460"
"18823";"GM0293";"2020JJ00";"   14971"
"18849";"GM1950";"2020JJ00";"   25733"
"18875";"GM0726";"2020JJ00";""
"18901";"GM1783";"2020JJ00";"  110375"
"18927";"GM0098";"2020JJ00";"   25914"
"18953";"GM0614";"2020JJ00";"   14731"
"18979";"GM0189";"2020JJ00";"   24446"
"19005";"GM0462";"2020JJ00";""
"19031";"GM0463";"2020JJ00";""
"19057";"GM0296";"2020JJ00";"   41110"
"19083";"GM1696";"2020JJ00";"   24358"
"19109";"GM0190";"2020JJ00";""
"19135";"GM0135";"2020JJ00";""
"19161";"GM0352";"2020JJ00";"   23914"
"19187";"GM0872";"2020JJ00";""
"19213";"GM0052";"2020JJ00";""
"19239";"GM0053";"2020JJ00";""
"19265";"GM0294";"2020JJ00";"   28854"
"19291";"GM0295";"2020JJ00";""
"19317";"GM0990";"2020JJ00";""
"19343";"GM0873";"2020JJ00";"   21876"
"19369";"GM0632";"2020JJ00";"   52299"
"19395";"GM0466";"2020JJ00";""
"19421";"GM1690";"2020JJ00";"   24330"
"19447";"GM0880";"2020JJ00";"   16270"
"19473";"GM0351";"2020JJ00";"   13362"
"19499";"GM0874";"2020JJ00";""
"19525";"GM0875";"2020JJ00";""
"19551";"GM0710";"2020JJ00";""
"19577";"GM0683";"2020JJ00";""
"19603";"GM0479";"2020JJ00";"  156794"
"19629";"GM0297";"2020JJ00";"   28881"
"19655";"GM0473";"2020JJ00";"   17116"
"19681";"GM0707";"2020JJ00";""
"19707";"GM0478";"2020JJ00";""
"19733";"GM0050";"2020JJ00";"   22653"
"19759";"GM0355";"2020JJ00";"   64905"
"19785";"GM0298";"2020JJ00";""
"19811";"GM0299";"2020JJ00";"   43750"
"19837";"GM0878";"2020JJ00";""
"19863";"GM1666";"2020JJ00";""
"19889";"GM0732";"2020JJ00";""
"19915";"GM0476";"2020JJ00";""
"19941";"GM0637";"2020JJ00";"  125285"
"19967";"GM0638";"2020JJ00";"    8605"
"19993";"GM0056";"2020JJ00";""
"20019";"GM0136";"2020JJ00";""
"20045";"GM1892";"2020JJ00";"   43885"
"20071";"GM0137";"2020JJ00";""
"20097";"GM0879";"2020JJ00";"   21829"
"20123";"GM0301";"2020JJ00";"   47934"
"20149";"GM1896";"2020JJ00";"   22685"
"20175";"GM0192";"2020JJ00";""
"20201";"GM0138";"2020JJ00";""
"20227";"GM0642";"2020JJ00";"   44737"
"20253";"GM0193";"2020JJ00";"  128840"
